time model lmap smap view 
4259 0 0 0 0 
10020 0 0 0 0 
25202 191 656 17 15 
4796 0 0 0 0 
10007 0 0 0 0 
25222 186 663 18 16 
4660 0 0 0 0 
10024 0 0 0 0 
25051 153 615 17 14 
4983 0 0 0 0 
10050 0 0 0 0 
10003 0 0 0 0 
25381 245 631 18 15 
4611 0 0 0 0 
9919 0 0 0 0 
25262 105 669 18 16 
4836 0 0 0 0 
9973 0 0 0 0 
25575 241 696 17 14 
4396 0 0 0 0 
10046 0 0 0 0 
25565 245 687 17 57 
4433 0 0 0 0 
9862 0 0 0 0 
25387 212 661 17 14 
4713 0 0 0 0 
9926 0 0 0 0 
25543 186 680 19 15 
4530 0 0 0 0 
10013 0 0 0 0 
25714 240 662 18 15 
4286 0 0 0 0 
10000 0 0 0 0 
9993 0 0 0 0 
25742 191 753 18 14 
4263 0 0 0 0 
9990 0 0 0 0 
25286 192 696 18 15 
4716 0 0 0 0 
10013 0 0 0 0 
25402 242 658 18 15 
4599 0 0 0 0 
9996 0 0 0 0 
25480 245 652 18 15 
4511 0 0 0 0 
10009 0 0 0 0 
25350 183 672 17 15 
4623 0 0 0 0 
9997 0 0 0 0 
10006 0 0 0 0 
25812 298 619 17 14 
4130 0 0 0 0 
10119 0 0 0 0 
26052 176 753 18 15 
3949 0 0 0 0 
9995 0 0 0 0 
25683 176 720 17 14 
4323 0 0 0 0 
9916 0 0 0 0 
25546 115 698 18 15 
4416 0 0 0 0 
10041 0 0 0 0 
26095 287 669 18 15 
4015 0 0 0 0 
9911 0 0 0 0 
26018 303 659 18 15 
4013 0 0 0 0 
10001 0 0 0 0 
10027 0 0 0 0 
25940 178 673 18 15 
4061 0 0 0 0 
9941 0 0 0 0 
25919 288 651 19 15 
4139 0 0 0 0 
9939 0 0 0 0 
25638 222 894 19 16 
4285 0 0 0 0 
10122 0 0 0 0 
25419 189 694 18 15 
4615 0 0 0 0 
9996 0 0 0 0 
25524 226 615 17 14 
4436 0 0 0 0 
9998 0 0 0 0 
25627 240 638 18 15 
4405 0 0 0 0 
9991 0 0 0 0 
25490 175 697 18 15 
4513 0 0 0 0 
9973 0 0 0 0 
